mnn,trade_name,drug_id,file_name
Бикалутамид,Билумид,23a55f42-df59-47c5-940a-65fd20dc7755,915b58bd-6732-455a-9a10-9f875bc9b44b.pdf
Бикалутамид,Бикалутамид,7d189e19-05ed-4894-a50a-8c8e2a6cafc3,c6a71699-819e-40a6-a9d3-1a383fa5021f.pdf
Бикалутамид,Бикалутамид,f8108540-7e64-4a17-8d8a-ef49988ed05b,d5bd0846-59bb-4528-bf3c-f2bd86048fa6.pdf
Бикалутамид,Бикаксонко,707c9e42-5ef8-4b1a-9409-0cd613f0118c,ЛП-000398[2019]_0.pdf
Блеомицин,Блеоцин,94546804-ce53-47c7-b9c7-bb5a3b0e4ca6,026c21c8-8957-43e4-b721-d69996fc8267.pdf
Блеомицин,Блеомицетин,ee405e71-195a-448a-9745-0eb436c09afe,69182e47-092a-4703-8740-a4487407581a.pdf
Блеомицин,Блеомицин-РОНЦ,1479178d-0b5b-46b0-b9c3-e1e33f2e35d9,7811d0cf-d24d-4ac5-a738-899fec7fbf3b.pdf
Блеомицин,Мальтин,ea5d7bcc-81a5-4b41-b710-8d723424236b,9827b109-bf15-4bdc-84d4-2d4b7be944ae.pdf
Блеомицин,Веро-блеомицин,fd37d53a-fff5-4d40-b494-3aa196753378,ЛСР-008999_09[2020]_0.pdf
Блинатумомаб,Блинцито,154779ac-877b-4135-8826-9c4f9e93c82e,3c431416-b1bf-4740-be47-2afafcaed3e7.pdf
Бортезомиб,Бортезомиб-Тева,d6fba77a-7518-4042-bceb-0729a9bb2a43,379a1e55-2bd9-4016-802c-a4c303d87157.pdf
Бортезомиб,Бартизар,1c9bee99-c091-425e-81bd-a50469ea1638,7275e8f7-0ea3-429c-8946-f3fe9e03c67c.pdf
Бортезомиб,Бартизар,dc14e41f-e5ce-4ac7-bf18-01183a9408a1,ce8411f7-0a3d-40ca-918f-25eee5c2f5c1.pdf
Бортезомиб,Бортезол,dae84b5f-2c26-48f9-9017-e97042dd78f4,fdcd062e-85a0-4580-ace2-d06594062625.pdf
Бортезомиб,БОРАТЕРИН,281841ab-67b6-4e0f-9be6-00c73bccfd3c,1894370c-b3d1-434f-8714-383b4c1d6692.pdf
Бортезомиб,Бортезомиб,0d04538b-d200-4d26-8c3c-16f5ef4ea214,82432bcf-67ff-492c-916e-bdc7dfa6fc21.pdf
Бортезомиб,БОРТЕЗОМИБ-ПРОМОМЕД,069499cd-b50e-4845-a405-1cf6d851d922,8af6d435-550f-4a6a-afcc-788eb30f20ad.pdf
Бортезомиб,Бортезомиб-Тева,49c45132-0316-497a-b705-6282e99a8f2f,c0a5bb5b-c1b8-458b-8523-3d38ef67f82b.pdf
Бортезомиб,Велмиб3.5,e2be330a-78fc-42ec-a9e9-176f8c054367,efbec0e3-d0ec-4db9-a2b8-46bd13bf00d8.pdf
Бортезомиб,Бортезомиб Канон,2fcac795-89b0-4b00-9512-05e565f942ef,ЛП-006120[2020]_0.pdf
Брентуксимаб ведотин,Адцетрис,a0f9c364-9fcb-4b51-98c3-48892d5aae42,babfdcbd-781a-4d50-b052-3bcc5484e311.pdf
Бусерелин,Бусерелин-лонг,47cc88a1-6ff9-4901-bfa9-86ff51a69782,064991b7-cc85-48ac-9c2c-52cd5cdc873f.pdf
